City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,kumba,CM,73.4,light rain,4.6363,9.4469,El Bethel Hotel
232,addanki,IN,82.17,few clouds,15.8167,79.9833,Shanthi residency
233,lafiagi,NG,86.11,light rain,8.8667,5.4167,Bus group international
234,raga,SS,77.95,overcast clouds,8.4596,25.678,
236,baghdad,IQ,76.91,dust,33.3406,44.4009,Baghdad Hotel
239,vila velha,BR,74.8,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
241,puerto ayacucho,VE,87.48,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
242,north myrtle beach,US,78.35,overcast clouds,33.816,-78.68,Avista Resort
244,manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
247,abu dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
249,georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
251,alta floresta,BR,79.61,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
254,moultrie,US,78.57,scattered clouds,31.1799,-83.7891,Moultrie Inn
255,tessalit,ML,87.67,clear sky,20.1986,1.0114,
258,bilma,NE,85.91,clear sky,18.6853,12.9164,Expeditions Ténére voyages
259,kurunegala,LK,76.05,overcast clouds,7.4863,80.3623,Galhena Estate Buluwala
261,sangin,AF,79.81,clear sky,32.0728,64.8359,
262,nha trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
277,auburndale,US,87.78,broken clouds,28.0653,-81.7887,Best Western Auburndale Inn & Suites
281,isla mujeres,MX,84.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
282,makakilo city,US,80.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
285,miandrivazo,MG,73.04,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
287,lorengau,PG,81.91,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
288,saint george,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
292,salalah,OM,83.64,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
295,roebourne,AU,74.03,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
296,miramar,US,85.01,clear sky,25.9873,-80.2323,Stadium Hotel
298,palmer,US,83.89,scattered clouds,42.1584,-72.3287,Wedgewood Motel
299,padang,ID,76.44,broken clouds,-0.9492,100.3543,Mercure Padang
301,pucallpa,PE,86.86,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
305,namatanai,PG,79.99,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
307,umm lajj,SA,83.26,clear sky,25.0213,37.2685,Moon light Furnished Units
308,barentu,ER,85.33,clear sky,15.1139,37.5928,
310,soyo,AO,77.05,light rain,-6.1349,12.3689,Hotel Mpampa
312,touros,BR,79.2,light rain,-5.1989,-35.4608,INN NEW HORIZON
315,daurala,IN,87.3,clear sky,29.1167,77.6833,SAGAR KATARIYA
318,garowe,SO,87.15,overcast clouds,8.4054,48.4845,Curubo Hotel
319,port hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
323,gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
325,laguna,US,82.69,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
328,merauke,ID,79.88,broken clouds,-8.4667,140.3333,
329,cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
330,cabo san lucas,MX,87.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
331,isangel,VU,75.47,overcast clouds,-19.55,169.2667,Tanna Lodge
335,abonnema,NG,79.48,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
339,eydhafushi,MV,82.89,light rain,5.1033,73.0708,Soneva Fushi
343,mattru,SL,77.34,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
346,tautira,PF,80.87,broken clouds,-17.7333,-149.15,Pension Oaoa
348,haapiti,PF,83.71,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
354,galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
355,bairiki,KI,80.1,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
357,marica,BR,76.48,broken clouds,-22.9194,-42.8186,Marica Hills
358,dambulla,LK,76.19,overcast clouds,7.86,80.6517,Tinaya Treats
365,boende,CD,75.9,broken clouds,-0.2167,20.8667,
367,kieta,PG,79.83,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
376,easley,US,78.44,moderate rain,34.8298,-82.6015,Quality Inn & Suites
377,madimba,TZ,74.77,broken clouds,-10.4,40.3333,
378,chabahar,IR,83.53,clear sky,25.2919,60.643,هتل گدروشیا
380,san cristobal,VE,78.28,overcast clouds,7.7669,-72.225,Pirineos
382,paracuru,BR,81.1,heavy intensity rain,-3.41,-39.0306,Hotel Vento Brasil
383,lakatoro,VU,77.95,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
384,kudahuvadhoo,MV,80.37,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
387,guerrero negro,MX,78.51,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
390,acapulco,MX,89.06,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
391,tolga,DZ,81.19,clear sky,34.7222,5.3785,سجن طولقة
394,meulaboh,ID,77.5,broken clouds,4.1363,96.1285,Kost Pria
397,tabou,CI,81.32,overcast clouds,4.423,-7.3528,hotêl doufoulougou
399,cedar city,US,73.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
401,khorramshahr,IR,81.77,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
411,shelburne,CA,80.37,clear sky,44.0787,-80.2041,The Retreat at the Farm
