City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hambantota,LK,2022-05-11 19:50:53,6.1241,81.1185,80.49,83,95,19.19
68,Ariquemes,BR,2022-05-11 19:50:53,-9.9133,-63.0408,79.77,93,42,3.51
69,Hofn,IS,2022-05-11 19:50:54,64.2539,-15.2082,42.82,49,100,6.91
70,Kutum,SD,2022-05-11 19:50:54,14.2,24.6667,83.39,12,93,9.15
71,Vila Velha,BR,2022-05-11 19:50:22,-20.3297,-40.2925,87.75,40,20,6.91
72,Airai,TL,2022-05-11 19:49:30,-8.9266,125.4092,58.75,92,92,0.76
73,Camana,PE,2022-05-11 19:50:55,-16.6228,-72.7111,68.97,72,0,7.27
74,Lavrentiya,RU,2022-05-11 19:50:55,65.5833,-171.0,34.0,98,96,7.11
75,Luderitz,NA,2022-05-11 19:50:56,-26.6481,15.1594,58.23,68,0,11.1
76,Mizan Teferi,ET,2022-05-11 19:50:56,6.9833,35.5833,61.88,96,54,3.49
77,East London,ZA,2022-05-11 19:50:56,-33.0153,27.9116,62.11,74,8,7.74
78,Eseka,CM,2022-05-11 19:50:57,3.65,10.7667,74.52,98,100,1.39
79,Avarua,CK,2022-05-11 19:50:57,-21.2078,-159.775,82.45,78,75,11.5
80,Albany,US,2022-05-11 19:49:27,42.6001,-73.9662,80.02,17,2,5.03
81,Aksarka,RU,2022-05-11 19:50:58,66.5606,67.7975,26.69,99,55,3.89
82,Gamba,GA,2022-05-11 19:50:58,-2.65,10.0,77.7,88,100,3.74
83,Mayo,US,2022-05-11 19:50:59,38.8876,-76.5119,73.81,62,100,9.22
84,Chokurdakh,RU,2022-05-11 19:50:59,70.6333,147.9167,12.11,92,100,11.18
85,Ilulissat,GL,2022-05-11 19:51:00,69.2167,-51.1,24.66,68,2,10.98
86,Jaisalmer,IN,2022-05-11 19:51:00,26.9147,70.9181,92.26,23,0,18.14
87,Maniitsoq,GL,2022-05-11 19:49:29,65.4167,-52.9,33.78,60,100,8.08
88,Arlit,NE,2022-05-11 19:51:01,18.7369,7.3853,92.44,9,0,13.69
89,Thompson,CA,2022-05-11 19:51:01,55.7435,-97.8558,60.96,44,75,12.66
90,Port Macquarie,AU,2022-05-11 19:52:02,-31.4333,152.9167,62.89,84,100,12.5
91,Ancud,CL,2022-05-11 19:49:22,-41.8697,-73.8203,48.07,92,100,12.41
92,Jimo,CN,2022-05-11 19:52:02,36.3897,120.4622,53.38,100,14,2.24
93,Svetlyy,RU,2022-05-11 19:52:03,54.675,20.1347,57.25,97,99,6.87
94,Nanortalik,GL,2022-05-11 19:52:03,60.1432,-45.2371,36.0,94,100,16.26
95,Laguna,US,2022-05-11 19:52:04,38.421,-121.4238,68.14,36,0,10.36
96,Bathsheba,BB,2022-05-11 19:49:02,13.2167,-59.5167,84.81,70,20,18.41
97,Bagua Grande,PE,2022-05-11 19:52:04,-5.7561,-78.4411,89.17,55,20,3.13
98,Dongobesh,TZ,2022-05-11 19:52:05,-4.0667,35.3833,58.84,73,66,7.0
99,Bara,NG,2022-05-11 19:52:05,10.3744,10.7288,90.39,41,15,11.65
100,Yatou,CN,2022-05-11 19:52:06,37.15,122.3833,49.84,86,38,4.88
101,Nova Olimpia,BR,2022-05-11 19:52:06,-14.7972,-57.2881,88.23,47,56,4.59
102,New Norfolk,AU,2022-05-11 19:48:42,-42.7826,147.0587,49.71,89,100,2.93
103,Upernavik,GL,2022-05-11 19:52:07,72.7868,-56.1549,23.68,80,90,5.86
104,Acarau,BR,2022-05-11 19:52:08,-2.8856,-40.12,78.13,82,99,9.4
105,Bluff,NZ,2022-05-11 19:52:08,-46.6,168.3333,53.2,79,17,17.29
106,San Carlos De Bariloche,AR,2022-05-11 19:52:08,-41.1456,-71.3082,46.15,53,75,6.91
107,Khani,GE,2022-05-11 19:52:09,41.9563,42.9566,44.17,92,82,2.15
108,Yuancheng,CN,2022-05-11 19:52:10,36.652,107.7896,58.57,79,83,6.96
109,Ribeira Grande,PT,2022-05-11 19:52:11,38.5167,-28.7,61.2,59,20,10.36
110,Gniezno,PL,2022-05-11 19:52:11,52.5348,17.5826,68.9,79,97,8.81
111,Henties Bay,NA,2022-05-11 19:52:12,-22.116,14.2845,61.27,72,4,5.48
112,Dingle,PH,2022-05-11 19:52:12,10.9995,122.6711,78.22,85,82,6.13
113,Coquimbo,CL,2022-05-11 19:51:12,-29.9533,-71.3436,58.73,82,75,6.91
114,Moron,AR,2022-05-11 19:52:13,-34.6534,-58.6198,64.29,69,100,2.91
115,Havoysund,NO,2022-05-11 19:52:13,70.9963,24.6622,37.63,98,100,20.56
116,Douentza,ML,2022-05-11 19:52:14,14.9951,-2.9517,92.48,5,0,5.39
117,Cherepovets,RU,2022-05-11 19:48:45,59.1333,37.9,44.42,70,0,0.0
118,Garowe,SO,2022-05-11 19:52:14,8.4054,48.4845,83.84,59,46,11.77
119,Halifax,CA,2022-05-11 19:51:33,44.6453,-63.5724,67.89,86,100,6.91
120,Bathurst,AU,2022-05-11 19:52:15,-33.4166,149.5806,55.83,96,100,8.01
121,Galle,LK,2022-05-11 19:52:15,6.0367,80.217,80.56,85,96,15.88
122,Sembe,CG,2022-05-11 19:52:16,1.6481,14.5806,70.07,97,85,2.91
123,Te Anau,NZ,2022-05-11 19:52:16,-45.4167,167.7167,41.34,92,39,0.85
124,Vavuniya,LK,2022-05-11 19:52:17,8.7514,80.4971,79.47,81,100,9.91
125,Mwinilunga,ZM,2022-05-11 19:52:17,-11.7358,24.4293,66.27,55,34,4.23
126,Arrifes,PT,2022-05-11 19:52:18,37.7667,-25.7,59.25,67,40,16.11
127,Bredasdorp,ZA,2022-05-11 19:52:18,-34.5322,20.0403,54.37,84,0,4.34
128,Narsaq,GL,2022-05-11 19:52:19,60.9167,-46.05,34.3,99,100,2.13
129,Labytnangi,RU,2022-05-11 19:52:19,66.6572,66.4183,24.75,93,59,0.47
130,Yulara,AU,2022-05-11 19:52:20,-25.2406,130.9889,48.04,46,76,6.91
131,Saskylakh,RU,2022-05-11 19:48:28,71.9167,114.0833,24.96,87,92,16.55
132,Pisco,PE,2022-05-11 19:51:50,-13.7,-76.2167,68.02,82,5,8.05
133,Ust-Kuyga,RU,2022-05-11 19:52:21,70.0167,135.6,23.68,91,82,6.64
134,Provideniya,RU,2022-05-11 19:52:21,64.3833,-173.3,35.98,83,89,10.51
135,Saldanha,ZA,2022-05-11 19:52:22,-33.0117,17.9442,51.85,77,0,6.02
136,San Patricio,US,2022-05-11 19:53:22,28.017,-97.5169,92.12,49,4,18.28
137,Batangafo,CF,2022-05-11 19:53:23,7.3008,18.2833,81.73,57,61,6.62
138,Poum,NC,2022-05-11 19:53:23,-20.2333,164.0167,76.35,71,100,25.59
139,Lagoa,PT,2022-05-11 19:53:24,39.05,-27.9833,57.92,65,73,13.53
140,Kasempa,ZM,2022-05-11 19:53:24,-13.4584,25.8338,63.01,61,6,3.65
141,Callaway,US,2022-05-11 19:53:25,30.153,-85.5699,89.91,30,0,12.66
142,Ostrovnoy,RU,2022-05-11 19:53:25,68.0531,39.5131,43.39,73,100,14.56
143,Tiksi,RU,2022-05-11 19:53:26,71.6872,128.8694,11.5,96,96,5.95
144,Pantai Remis,MY,2022-05-11 19:53:26,4.4557,100.6288,80.62,88,97,2.91
145,Bilibino,RU,2022-05-11 19:53:27,68.0546,166.4372,33.19,99,100,3.8
146,Asyut,EG,2022-05-11 19:53:27,27.181,31.1837,80.78,21,5,9.42
147,Pevek,RU,2022-05-11 19:53:27,69.7008,170.3133,25.52,96,100,7.29
148,Georgetown,MY,2022-05-11 19:49:50,5.4112,100.3354,82.33,93,40,5.01
149,Shimoda,JP,2022-05-11 19:53:28,34.6667,138.95,63.34,88,86,2.89
150,Oksovskiy,RU,2022-05-11 19:53:28,62.6062,39.8984,49.66,71,100,4.83
