City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,butaritari,KI,2022-05-13 21:00:29,3.0707,172.7902,80.67,74,97,7.81,overcast clouds
61,northam,GB,2022-05-13 21:00:30,51.0333,-4.2167,53.62,90,31,10.29,scattered clouds
62,nome,US,2022-05-13 21:00:30,64.5011,-165.4064,35.17,58,1,8.16,clear sky
63,tuatapere,NZ,2022-05-13 21:00:31,-46.1333,167.6833,52.95,94,99,3.44,overcast clouds
64,kahului,US,2022-05-13 21:00:25,20.8947,-156.47,81.84,73,42,11.01,scattered clouds
65,atuona,PF,2022-05-13 21:00:31,-9.8,-139.0333,78.93,64,65,20.78,broken clouds
66,eureka,US,2022-05-13 20:57:01,40.8021,-124.1637,64.67,76,100,8.01,overcast clouds
67,bundaberg,AU,2022-05-13 21:00:32,-24.85,152.35,69.22,99,100,1.14,overcast clouds
68,lagoa,PT,2022-05-13 21:00:32,39.05,-27.9833,59.54,77,100,2.59,overcast clouds
69,neyshabur,IR,2022-05-13 21:00:33,36.2133,58.7958,57.16,63,93,1.45,overcast clouds
70,beringovskiy,RU,2022-05-13 21:00:33,63.05,179.3167,36.55,85,99,4.27,light rain
71,mandera,KE,2022-05-13 21:00:34,3.9366,41.867,85.39,46,40,16.98,scattered clouds
72,puerto leguizamo,CO,2022-05-13 21:00:34,-0.1934,-74.7819,75.97,97,97,2.21,overcast clouds
73,melilla,ES,2022-05-13 21:00:35,35.2937,-2.9383,64.78,88,40,2.3,scattered clouds
74,saskylakh,RU,2022-05-13 21:00:35,71.9167,114.0833,3.9,99,86,3.96,overcast clouds
75,esperance,AU,2022-05-13 21:00:35,-33.8667,121.9,56.66,62,67,20.71,broken clouds
76,busselton,AU,2022-05-13 21:00:36,-33.65,115.3333,60.4,70,68,15.93,broken clouds
77,saldanha,ZA,2022-05-13 21:00:36,-33.0117,17.9442,60.96,64,91,5.17,overcast clouds
78,qaanaaq,GL,2022-05-13 21:00:37,77.484,-69.3632,18.48,78,63,1.74,broken clouds
79,severo-kurilsk,RU,2022-05-13 21:00:37,50.6789,156.125,39.0,96,100,15.77,overcast clouds
80,bady bassitt,BR,2022-05-13 21:00:37,-20.9181,-49.4453,72.97,55,0,5.99,clear sky
81,seminole,US,2022-05-13 21:00:38,28.7086,-81.2081,87.42,58,65,1.99,broken clouds
82,charagua,BO,2022-05-13 21:00:38,-19.8,-63.2167,78.42,51,0,10.38,clear sky
83,opuwo,NA,2022-05-13 21:00:39,-18.0607,13.84,63.09,29,0,2.15,clear sky
84,goure,NE,2022-05-13 21:00:39,13.9835,10.2704,89.37,10,7,12.53,clear sky
85,maldonado,UY,2022-05-13 21:00:40,-34.6667,-54.9167,59.23,69,100,6.15,overcast clouds
86,grimstad,NO,2022-05-13 21:00:40,58.3405,8.5934,51.71,83,69,17.58,broken clouds
87,egvekinot,RU,2022-05-13 21:00:41,66.3167,-179.1667,25.41,84,14,4.14,few clouds
88,klaksvik,FO,2022-05-13 21:00:41,62.2266,-6.589,40.12,70,98,15.86,overcast clouds
89,sernur,RU,2022-05-13 21:00:41,56.9333,49.1536,41.13,95,8,8.19,clear sky
90,haines junction,CA,2022-05-13 21:00:42,60.7522,-137.5108,40.42,64,100,5.37,overcast clouds
91,qaqortoq,GL,2022-05-13 21:00:42,60.7167,-46.0333,31.84,75,68,8.77,broken clouds
92,nizhnevartovsk,RU,2022-05-13 20:56:28,60.9344,76.5531,59.02,51,0,7.0,clear sky
93,grindavik,IS,2022-05-13 21:00:43,63.8424,-22.4338,39.67,56,75,12.66,broken clouds
94,mehran,IR,2022-05-13 21:00:43,33.1222,46.1646,75.06,19,0,14.16,clear sky
95,sambava,MG,2022-05-13 21:00:44,-14.2667,50.1667,72.75,82,2,11.7,clear sky
96,cherskiy,RU,2022-05-13 21:00:45,68.75,161.3,38.03,74,29,15.61,scattered clouds
97,soavinandriana,MG,2022-05-13 21:00:46,-19.1667,46.7333,58.05,76,100,3.98,overcast clouds
98,rassvet,RU,2022-05-13 21:00:46,46.8333,40.75,57.4,57,75,2.68,broken clouds
99,bethel,US,2022-05-13 21:00:47,41.3712,-73.414,80.51,73,42,1.01,scattered clouds
100,chuy,UY,2022-05-13 21:00:47,-33.6971,-53.4616,57.67,73,96,6.15,overcast clouds
101,broken hill,AU,2022-05-13 21:00:48,-31.95,141.4333,58.48,72,98,10.09,overcast clouds
102,ponta do sol,PT,2022-05-13 21:00:49,32.6667,-17.1,70.0,83,28,4.18,scattered clouds
103,hervey bay,AU,2022-05-13 21:00:49,-25.2986,152.8535,70.02,97,78,15.01,broken clouds
104,aketi,CD,2022-05-13 21:00:50,2.7388,23.7833,72.12,96,99,0.38,overcast clouds
105,port blair,IN,2022-05-13 21:00:50,11.6667,92.75,82.29,83,62,9.48,broken clouds
106,linxia,CN,2022-05-13 21:00:51,35.6003,103.2064,39.18,97,100,3.51,overcast clouds
107,puerto ayora,EC,2022-05-13 21:00:51,-0.7393,-90.3518,74.55,90,94,1.99,overcast clouds
108,nouakchott,MR,2022-05-13 21:00:14,18.0858,-15.9785,80.6,45,68,16.13,broken clouds
109,lahij,YE,2022-05-13 21:00:53,13.1667,44.5833,84.51,35,2,3.91,clear sky
110,aykhal,RU,2022-05-13 21:00:53,66.0,111.5,23.58,83,100,5.64,overcast clouds
111,gigmoto,PH,2022-05-13 21:00:54,13.7796,124.39,79.43,88,100,8.5,overcast clouds
112,cotonou,BJ,2022-05-13 20:56:46,6.3654,2.4183,85.98,79,20,11.5,few clouds
113,batamshinskiy,KZ,2022-05-13 21:00:54,50.5594,58.2747,52.83,96,100,18.88,moderate rain
114,asau,RO,2022-05-13 21:00:55,46.4333,26.4,60.96,100,100,3.36,overcast clouds
115,canchungo,GW,2022-05-13 21:00:55,12.0672,-16.0333,75.54,83,31,8.48,scattered clouds
116,hoquiam,US,2022-05-13 21:00:21,46.9809,-123.8893,56.93,64,100,5.99,overcast clouds
117,ambon,ID,2022-05-13 21:00:56,-3.6954,128.1814,81.37,79,80,2.51,broken clouds
118,baiao,BR,2022-05-13 21:00:56,-2.7906,-49.6717,77.7,97,26,2.06,scattered clouds
119,seabra,BR,2022-05-13 21:00:57,-12.4186,-41.7703,75.79,49,84,5.14,broken clouds
120,yulara,AU,2022-05-13 21:00:57,-25.2406,130.9889,63.57,53,94,7.52,overcast clouds
121,moerai,PF,2022-05-13 21:00:58,-22.4333,-151.3333,80.26,78,58,16.98,broken clouds
122,poltavka,RU,2022-05-13 21:00:58,54.3663,71.7632,57.99,57,88,2.42,overcast clouds
123,mount isa,AU,2022-05-13 21:00:44,-20.7333,139.5,51.57,100,0,0.0,clear sky
124,rawson,AR,2022-05-13 21:00:59,-43.3002,-65.1023,54.9,44,18,21.14,few clouds
125,dukat,RU,2022-05-13 21:00:59,62.55,155.55,30.49,84,88,7.96,overcast clouds
126,sur,OM,2022-05-13 21:01:00,22.5667,59.5289,90.05,32,2,15.05,clear sky
127,mazagao,BR,2022-05-13 21:01:00,-0.115,-51.2894,78.89,89,54,3.69,broken clouds
128,oriximina,BR,2022-05-13 21:01:01,-1.7656,-55.8661,80.08,89,100,1.9,overcast clouds
129,adrar,MR,2022-05-13 21:01:01,20.5022,-10.0711,92.12,9,55,8.19,broken clouds
130,icod de los vinos,ES,2022-05-13 21:01:01,28.3724,-16.7119,67.75,89,97,1.52,overcast clouds
131,staroutkinsk,RU,2022-05-13 21:01:02,57.2302,59.3348,42.42,96,96,4.74,light rain
132,port augusta,AU,2022-05-13 21:01:02,-32.5,137.7667,66.43,49,100,15.95,overcast clouds
133,pangnirtung,CA,2022-05-13 21:01:03,66.1451,-65.7125,21.34,84,93,2.01,overcast clouds
134,chumikan,RU,2022-05-13 21:01:03,54.7183,135.315,31.33,98,100,3.89,light snow
135,ngunguru,NZ,2022-05-13 21:01:04,-35.6167,174.5,55.85,79,64,5.66,broken clouds
136,la paz,BO,2022-05-13 21:01:04,-16.5,-68.15,55.11,37,21,10.09,few clouds
137,east london,ZA,2022-05-13 21:00:14,-33.0153,27.9116,62.42,77,53,8.39,broken clouds
138,rio gallegos,AR,2022-05-13 21:01:05,-51.6226,-69.2181,44.49,69,24,11.77,few clouds
139,saint-pierre,RE,2022-05-13 21:01:05,-21.3393,55.4781,70.92,64,0,9.22,clear sky
140,hofn,IS,2022-05-13 21:01:06,64.2539,-15.2082,40.71,54,94,8.77,overcast clouds
141,trairi,BR,2022-05-13 20:57:47,-3.2778,-39.2689,78.01,87,100,11.12,heavy intensity rain
142,tarbagatay,RU,2022-05-13 21:01:06,51.4803,107.3602,33.33,64,12,0.38,few clouds
143,cockburn town,TC,2022-05-13 21:01:07,21.4612,-71.1419,79.07,84,100,23.78,overcast clouds
144,ahipara,NZ,2022-05-13 21:01:08,-35.1667,173.1667,58.1,71,59,2.37,broken clouds
145,marsh harbour,BS,2022-05-13 21:01:08,26.5412,-77.0636,77.68,74,79,11.39,broken clouds
146,sorong,ID,2022-05-13 21:01:09,-0.8833,131.25,77.54,91,100,2.71,overcast clouds
147,chokurdakh,RU,2022-05-13 21:01:09,70.6333,147.9167,15.46,90,100,5.88,overcast clouds
148,tiksi,RU,2022-05-13 21:01:10,71.6872,128.8694,15.33,88,22,10.38,few clouds
149,kavaratti,IN,2022-05-13 21:01:10,10.5669,72.642,83.95,78,58,15.39,light rain
150,torbay,CA,2022-05-13 21:00:16,47.6666,-52.7314,47.88,78,79,5.99,broken clouds
151,nikolskoye,RU,2022-05-13 21:01:12,59.7035,30.7861,49.91,74,84,9.71,broken clouds
152,sorland,NO,2022-05-13 21:01:12,67.667,12.6934,44.46,90,100,25.99,overcast clouds
153,cidreira,BR,2022-05-13 20:57:24,-30.1811,-50.2056,62.53,74,56,6.4,broken clouds
154,verkhnevilyuysk,RU,2022-05-13 21:01:13,63.4453,120.3167,27.1,80,10,7.96,clear sky
